El Ministerio de Salud de #Ecuador anunció 1.211 contagios por #COVID-19 y elevó a 29 los fallecidos por la pandemia,,
"Atención Ecuador registra 1 211 casos confirmados de covid19, según los datos entregados por el COE Nacional",,
Por ineptitud de @ottosonnenh y @Lenin parte de la élite económica del #Ecuador está contagiada,,
Así es la situación de los muertos en #Guayaquil. En #Ecuador existe un colapso de cuerpos,,
Hablando de orejas.,,
"Viendo la lógica las ""penitencias"" de los videos son alternativas para no detenerlos, dudo que en prisión haya espacio para tantos tontos, para eso despejen las prisiones sacando a los giles (qué deben pensión alimenticia) para meter a los más giles",,
"La ""Justicia Indígena"" ¿acaso no usan mismo ardid para disciplinar?",,
"Y está debidamente registrado en el Ecuador. ¿Qué espera el gobierno, el #COE para adquirir Interferon y solicitar aparatos necesarios",,
"Si quiere que no le espíen o le esten grabando supuestos fieles colaboradores, no permita mas",,
Comparto algunas pautas para poder detener este azote que nos ha golpeado.,,
Pacientes con lupus y artritis en Ecuador luchan por conseguir un medicamento que escasea,,
Ecuador No es lo mismo el Guasmo Sur  donde viven familias  hacinadas que la isla de Nebot  La pobreza y la desigualdad,,
"Vivamos con Educación, solo de esa forma estamos haciendo el bien al prójimo... practicalo #NoSalgasDeCasa @GlobalMiraism…",,
Despega el último vuelo de repatraciación con europeos de KLM entre #Ecuador y #Amsterdam tras subir pasajeros en #Quito y #…,,
Otro de los efectos en el medio ambiente por el impacto del #covid19 se evidencia en Salinas,,
¿Quieres saber cómo hacer una aplicación para Android Wear? Te lo explicamos &gt; http://t.co/IjgCIkigvm http://t.co/tUZhU3wrhx,,
a veer que tal :D http://t.co/LzUOezEcYS,,
jajaja :D como les encanta trolear cuando alguno no se conecta :P jajaja https://t.co/CaAM5PnhwP,,
Mirando los Simpson :D,,
Tu teléfono Android permanecerá desbloqueado mientras lo lleves encima - http://t.co/lIzBXxBLSJ http://t.co/mDgEZhaudV,,
#sextapelarry.-Larry es real?.-Harry: No, pero tuvimos algo.Me conformo :D.#MTVHottest One Direction http://t.co/n6Tfvc6WbB,
#NAME?, DISPUESTOS Y EN SERIO, NO ES JUEGO.
5 aplicaciones para tomar fotografías de larga exposición con tu Android http://t.co/4YbZFm4VN5 http://t.co/pHi76QPV5j,,
¡Ya estamos preparados para #GobernarParaLaMayoría! #CentroParaTi http://t.co/a1TsBa1yOt,,
Yo me la juego con Federico, porque no quiere un pueblo manso para administrar, sino una ciudadanía educada que proponga. @FicoGutierrez
¿Por qué el ingeniero eléctrico llama a todo el mundo cuando esta estresado?   ..-Porque en una conexión en serie, la tensión se divide.,
La Agencia Espacial Europea decide prolongar la misión de la sonda Rosetta #Ciencia http://t.co/z4ro3VqjpC http://t.co/6tkR4GXrcw,,
No debo quejarme por tener que leer más de 100 páginas semanales, son poquitas. No llevo mate :D,
El Twitter Mi Desestresante :D,,
@IvanaSolange2 De bronca los iba a bloquiar a todos jaja !! Pero me acorde que la pase mejor que ellos llendo a jugar y se me paso jaja :p,,
17/18J: La #UAM en Bruselas: Jornada de Puertas Abiertas para la presentación de ÓPERA. ,,
